Month,Species,Street,spray_dist,spray_status,Year,Sunset,DaylightHrs,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
5,CULEX PIPIENS/RESTUANS, W ROOSEVELT,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, W ROOSEVELT,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, S PEORIA ST,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, W CHICAGO,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, N LONG AVE,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, W WEBSTER AVE,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, W 95TH ST,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX PIPIENS/RESTUANS, N STAVE ST,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX PIPIENS/RESTUANS, N CANNON DR,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, N CANNON DR,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX PIPIENS/RESTUANS, W 113TH ST,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, W 113TH ST,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX PIPIENS, W 89TH ST,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, W 89TH ST,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, W GRAND AVE,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, S CARPENTER ST,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX PIPIENS/RESTUANS, N STREETER DR,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX RESTUANS, N STREETER DR,,0,2007,19.18,14.76,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6
5,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,0,2007,19.18,14.76,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2
5,CULEX RESTUANS, N OAK PARK AVE,,0,2007,19.18,14.76,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2
5,CULEX RESTUANS, N MANDELL AVE,,0,2007,19.18,14.76,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2
5,CULEX PIPIENS/RESTUANS, N OAK PARK AVE,,0,2007,19.18,14.76,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2
5,CULEX PIPIENS/RESTUANS, N OAKLEY AVE,,0,2007,19.18,14.76,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2
5,CULEX PIPIENS/RESTUANS, W FOSTER AVE,,0,2007,19.18,14.76,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2
5,CULEX RESTUANS, W FOSTER AVE,,0,2007,19.18,14.76,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2
6,CULEX PIPIENS, W ROOSEVELT,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, W ROOSEVELT,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, W ROOSEVELT,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, S STATE ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, W CHICAGO,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, N HUMBOLDT DR,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, N LONG AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS, W WEBSTER AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, W WEBSTER AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, W WEBSTER AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, W 95TH ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, N LAWLER AVE,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, N STAVE ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, N STAVE ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, N CANNON DR,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX RESTUANS, W 113TH ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS, W 89TH ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
6,CULEX PIPIENS/RESTUANS, W 89TH ST,,0,2007,19.28,14.93,88.0,65.0,77.0,13.0,59.0,66.0,12.0,0.0,29.44,30.09,5.8,16.0,7.4
