C,estimator,kernel,learning_rate,max_depth,max_score,mean_score,min_samples_leaf,min_samples_split,min_score,n_estimators,n_neighbors,penalty,std_score
,ExtraTrees,,,,0.9948320413436692,0.9823428079242033,1,3,0.9612403100775194,100,,,0.015005384487669506
,ExtraTrees,,,,0.9948320413436692,0.9781797301177145,1,2,0.9487510766580534,20,,,0.02086927593766874
,ExtraTrees,,,,0.9944013781223083,0.9810508182601206,1,2,0.9577950043066322,100,,,0.016504387193373247
,ExtraTrees,,,,0.9944013781223083,0.9801894918173989,1,2,0.9552110249784669,60,,,0.017718359351840726
,ExtraTrees,,,,0.9944013781223083,0.9811943726672409,1,3,0.958656330749354,20,,,0.016015165396721882
,ExtraTrees,,,,0.9944013781223083,0.9816250358886017,1,3,0.9595176571920758,60,,,0.015695427733099725
,RandomForest,,,,0.9939707149009475,0.9656904966982487,,2,0.9130060292850991,100,,,0.03728713463437158
,RandomForest,,,,0.9939707149009475,0.9666953775480907,,3,0.9164513350559862,100,,,0.035571380113017144
,RandomForest,,,,0.9939707149009475,0.9656904966982486,,4,0.9142980189491817,100,,,0.03640116322371798
,RandomForest,,,,0.9939707149009475,0.9651162790697674,,2,0.9112833763996555,60,,,0.038098485020838
,RandomForest,,,,0.9935400516795866,0.9671260407694516,,3,0.9181739879414298,60,,,0.03465047754327299
,RandomForest,,,,0.9931093884582257,0.964398507034166,,4,0.9112833763996555,60,,,0.037599198546393306
,RandomForest,,,,0.991817398794143,0.962532299741602,,2,0.9078380706287683,20,,,0.03870701751700486
,ExtraTrees,,,,0.9913867355727821,0.9849267872523687,2,2,0.9728682170542635,60,,,0.008533944270859543
,BaggedDecisionTree,,,,0.9913867355727821,0.957220786678151,,,0.8940568475452196,100,,,0.04471345326453685
,ExtraTrees,,,,0.9913867355727821,0.9849267872523687,2,3,0.9728682170542635,60,,,0.008533944270859543
,RandomForest,,,,0.9909560723514211,0.9632500717772036,,3,0.9117140396210164,20,,,0.03647581611341855
,RandomForest,,,,0.9909560723514211,0.9641113982199253,,4,0.9142980189491817,20,,,0.03525890289166156
,ExtraTrees,,,,0.9909560723514211,0.9844961240310077,2,3,0.9720068906115418,100,,,0.008832971612354365
,BaggedDecisionTree,,,,0.9909560723514211,0.956215905828309,,,0.8914728682170543,60,,,0.045821073618724055
,ExtraTrees,,,,0.9909560723514211,0.9844961240310077,2,2,0.9720068906115418,100,,,0.008832971612354365
,ExtraTrees,,,,0.9888027562446167,0.9806201550387597,2,3,0.966838931955211,20,,,0.00980172840373906
,BaggedDecisionTree,,,,0.9888027562446167,0.9554981337927074,,,0.892334194659776,20,,,0.044685791463321786
,ExtraTrees,,,,0.9888027562446167,0.9806201550387597,2,2,0.966838931955211,20,,,0.00980172840373906
,RandomForest,,,10,0.987510766580534,0.9688486936548952,,4,0.9409991386735572,60,,,0.020068885578296093
,RandomForest,,,10,0.9862187769164513,0.9714326729830606,,3,0.9453057708871663,100,,,0.018527975115305354
,RandomForest,,,10,0.9862187769164513,0.969279356876256,,3,0.9409991386735572,60,,,0.020127331300606087
,RandomForest,,,10,0.9857881136950905,0.9698535745047373,,2,0.9427217915590008,100,,,0.019282301494210768
,DecisionTree,,,14,0.9857881136950905,0.9592305483778353,1,2,0.9211886304909561,,,,0.027594577643900477
,ExtraTrees,,,14,0.9857881136950905,0.9727246626471433,1,3,0.9565030146425495,100,,,0.012162371277619962
,RandomForest,,,10,0.9853574504737296,0.97114556416882,,2,0.9474590869939707,60,,,0.01686015802072127
,DecisionTree,,,14,0.9853574504737296,0.9580821131208728,1,3,0.9211886304909561,,,,0.027065240973412993
,RandomForest,,,10,0.9849267872523686,0.9692793568762562,,4,0.94229112833764,100,,,0.0191643789358496
,ExtraTrees,,,14,0.9844961240310077,0.9717197817973012,1,3,0.9534883720930233,60,,,0.01323350522709331
,ExtraTrees,,,14,0.9832041343669251,0.9692793568762562,1,3,0.950473729543497,20,,,0.01380064905145517
,DecisionTree,,,,0.9827734711455641,0.9509043927648579,1,2,0.8880275624461671,,,,0.04446202360070375
,RandomForest,,,10,0.9814814814814815,0.9656904966982487,,2,0.9401378122308355,20,,,0.018235365498938196
,DecisionTree,,,,0.9810508182601206,0.9490381854722941,1,3,0.8871662360034454,,,,0.043758906071570375
,RandomForest,,,10,0.9810508182601206,0.9629629629629629,,3,0.9362618432385874,20,,,0.019272680386837132
,ExtraTrees,,,14,0.9806201550387597,0.9699971289118575,1,2,0.950473729543497,60,,,0.013823029706816788
,RandomForest,,,10,0.9806201550387597,0.9656904966982486,,4,0.9388458225667528,20,,,0.01902190692061841
,ExtraTrees,,,14,0.979328165374677,0.9727246626471433,1,2,0.9599483204134367,100,,,0.00903594888421258
,DecisionTree,,,14,0.9771748492678726,0.9513350559862187,2,3,0.9138673557278209,,,,0.027121527121160706
,DecisionTree,,,14,0.9771748492678726,0.9513350559862187,2,2,0.9138673557278209,,,,0.027121527121160706
,ExtraTrees,,,14,0.9767441860465116,0.9675567039908125,1,2,0.9500430663221361,20,,,0.012389003164163885
,ExtraTrees,,,14,0.9724375538329026,0.9613838644846396,2,2,0.9440137812230835,100,,,0.012433833852157607
,ExtraTrees,,,14,0.9724375538329026,0.9613838644846396,2,3,0.9440137812230835,100,,,0.012433833852157607
,ExtraTrees,,,14,0.9702842377260982,0.9602354292276774,2,2,0.9409991386735572,60,,,0.013606655884091658
,ExtraTrees,,,14,0.9702842377260982,0.9602354292276774,2,3,0.9409991386735572,60,,,0.013606655884091658
,DecisionTree,,,10,0.9698535745047373,0.940424921045076,1,3,0.9168819982773471,,,,0.0220223877200304
,DecisionTree,,,10,0.9689922480620154,0.940424921045076,1,2,0.9168819982773471,,,,0.021568542087953703
,ExtraTrees,,,14,0.9642549526270456,0.955354579385587,2,3,0.9418604651162791,20,,,0.009702408985768468
,DecisionTree,,,10,0.9642549526270456,0.9361182888314671,2,3,0.9099913867355728,,,,0.02219854353152765
,DecisionTree,,,10,0.9642549526270456,0.9361182888314671,2,2,0.9099913867355728,,,,0.02219854353152765
,ExtraTrees,,,14,0.9642549526270456,0.955354579385587,2,2,0.9418604651162791,20,,,0.009702408985768468
,DecisionTree,,,,0.9621016365202412,0.9276485788113695,2,3,0.8617571059431525,,,,0.046608559049331935
,DecisionTree,,,,0.9621016365202412,0.9276485788113695,2,2,0.8617571059431525,,,,0.046608559049331935
,RandomForest,,,6,0.9599483204134367,0.9420040195233993,,2,0.9112833763996555,100,,,0.021824991555870213
,RandomForest,,,6,0.9582256675279931,0.9420040195233993,,3,0.9112833763996555,100,,,0.021734156201598978
,ExtraTrees,,,10,0.9582256675279931,0.9476026414010911,1,3,0.9306632213608957,100,,,0.012106327098655206
,RandomForest,,,6,0.9577950043066322,0.943296009187482,,4,0.9147286821705426,100,,,0.020200915777461307
,ExtraTrees,,,10,0.9573643410852714,0.9465977605512489,1,2,0.9302325581395349,100,,,0.011762704809429526
,ExtraTrees,,,10,0.9560723514211886,0.9351134079816251,1,3,0.9099913867355728,20,,,0.019041397693908967
,RandomForest,,,6,0.9560723514211886,0.9401378122308355,,2,0.9147286821705426,60,,,0.018159490647982807
,KNN,,,,0.9556416881998278,0.9425782371518805,,,0.9207579672695951,,3,,0.01552911037498399
,RandomForest,,,6,0.9552110249784669,0.9407120298593168,,3,0.9177433247200689,60,,,0.01642678973570704
