,estimator,min_score,mean_score,max_score,std_score,C,alpha,gamma,kernel,lambda,learning_rate,max_depth,min_samples_leaf,min_samples_split,n_estimators,n_jobs,n_neighbors,penalty,subsample
112,ExtraTrees,0.98375534553212,0.990042313312994,0.9936791547872613,0.004463770798613642,,,,,,,,2,2,100,,,,
115,ExtraTrees,0.98375534553212,0.990042313312994,0.9936791547872613,0.004463770798613642,,,,,,,,2,3,100,,,,
114,ExtraTrees,0.9834127051927337,0.9898478754128139,0.9934094802291825,0.004559013883096322,,,,,,,,2,3,60,,,,
111,ExtraTrees,0.9834127051927337,0.9898478754128139,0.9934094802291825,0.004559013883096322,,,,,,,,2,2,60,,,,
671,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.3,0.0,,0.0,0.7000000000000001,3,,,125,4,,,0.5
554,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.0,0.0,,0.8999999999999999,0.7000000000000001,3,,,125,4,,,0.5
986,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.8999999999999999,0.0,,0.8999999999999999,0.7000000000000001,3,,,125,4,,,0.5
977,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.8999999999999999,0.0,,0.6,0.7000000000000001,3,,,125,4,,,0.5
680,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.3,0.0,,0.3,0.7000000000000001,3,,,125,4,,,0.5
968,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.8999999999999999,0.0,,0.3,0.7000000000000001,3,,,125,4,,,0.5
689,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.3,0.0,,0.6,0.7000000000000001,3,,,125,4,,,0.5
545,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.0,0.0,,0.6,0.7000000000000001,3,,,125,4,,,0.5
959,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.8999999999999999,0.0,,0.0,0.7000000000000001,3,,,125,4,,,0.5
698,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.3,0.0,,0.8999999999999999,0.7000000000000001,3,,,125,4,,,0.5
536,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.0,0.0,,0.3,0.7000000000000001,3,,,125,4,,,0.5
833,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.6,0.0,,0.6,0.7000000000000001,3,,,125,4,,,0.5
815,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.6,0.0,,0.0,0.7000000000000001,3,,,125,4,,,0.5
842,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.6,0.0,,0.8999999999999999,0.7000000000000001,3,,,125,4,,,0.5
527,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.0,0.0,,0.0,0.7000000000000001,3,,,125,4,,,0.5
824,XGBoost,0.9711593751974723,0.9891860228596645,0.9984208087862716,0.012748047299158268,,0.6,0.0,,0.3,0.7000000000000001,3,,,125,4,,,0.5
814,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.6,0.0,,0.0,0.7000000000000001,3,,,100,4,,,0.5
958,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.8999999999999999,0.0,,0.0,0.7000000000000001,3,,,100,4,,,0.5
841,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.6,0.0,,0.8999999999999999,0.7000000000000001,3,,,100,4,,,0.5
679,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.3,0.0,,0.3,0.7000000000000001,3,,,100,4,,,0.5
976,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.8999999999999999,0.0,,0.6,0.7000000000000001,3,,,100,4,,,0.5
832,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.6,0.0,,0.6,0.7000000000000001,3,,,100,4,,,0.5
526,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.0,0.0,,0.0,0.7000000000000001,3,,,100,4,,,0.5
967,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.8999999999999999,0.0,,0.3,0.7000000000000001,3,,,100,4,,,0.5
670,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.3,0.0,,0.0,0.7000000000000001,3,,,100,4,,,0.5
823,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.6,0.0,,0.3,0.7000000000000001,3,,,100,4,,,0.5
688,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.3,0.0,,0.6,0.7000000000000001,3,,,100,4,,,0.5
544,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.0,0.0,,0.6,0.7000000000000001,3,,,100,4,,,0.5
697,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.3,0.0,,0.8999999999999999,0.7000000000000001,3,,,100,4,,,0.5
535,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.0,0.0,,0.3,0.7000000000000001,3,,,100,4,,,0.5
553,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.0,0.0,,0.8999999999999999,0.7000000000000001,3,,,100,4,,,0.5
985,XGBoost,0.9716119050561964,0.9891488705259559,0.9984297113851629,0.012407561653100016,,0.8999999999999999,0.0,,0.8999999999999999,0.7000000000000001,3,,,100,4,,,0.5
825,XGBoost,0.9711392689363454,0.9891339049100911,0.9984774701187977,0.012727269411499745,,0.6,0.0,,0.3,0.7000000000000001,3,,,150,4,,,0.5
960,XGBoost,0.9711392689363454,0.9891339049100911,0.9984774701187977,0.012727269411499745,,0.8999999999999999,0.0,,0.0,0.7000000000000001,3,,,150,4,,,0.5
528,XGBoost,0.9711392689363454,0.9891339049100911,0.9984774701187977,0.012727269411499745,,0.0,0.0,,0.0,0.7000000000000001,3,,,150,4,,,0.5
987,XGBoost,0.9711392689363454,0.9891339049100911,0.9984774701187977,0.012727269411499745,,0.8999999999999999,0.0,,0.8999999999999999,0.7000000000000001,3,,,150,4,,,0.5
555,XGBoost,0.9711392689363454,0.9891339049100911,0.9984774701187977,0.012727269411499745,,0.0,0.0,,0.8999999999999999,0.7000000000000001,3,,,150,4,,,0.5
978,XGBoost,0.9711392689363454,0.9891339049100911,0.9984774701187977,0.012727269411499745,,0.8999999999999999,0.0,,0.6,0.7000000000000001,3,,,150,4,,,0.5
