,month,Species,Sunset,Street,DaylightHrs,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,WnvPresent
0,5,CULEX PIPIENS/RESTUANS,19.28, N OAK PARK AVE,14.93,75.0,57.0,66.0,4.0,47.0,56.0,1.0,0.02,29.39,30.11,5.8,18.0,6.5,0
1,5,CULEX RESTUANS,19.28, N OAK PARK AVE,14.93,75.0,57.0,66.0,4.0,47.0,56.0,1.0,0.02,29.39,30.11,5.8,18.0,6.5,0
2,5,CULEX RESTUANS,19.28, N MANDELL AVE,14.93,75.0,57.0,66.0,4.0,47.0,56.0,1.0,0.02,29.39,30.11,5.8,18.0,6.5,0
3,5,CULEX PIPIENS/RESTUANS,19.28, W FOSTER AVE,14.93,75.0,57.0,66.0,4.0,47.0,56.0,1.0,0.02,29.39,30.11,5.8,18.0,6.5,0
4,5,CULEX RESTUANS,19.28, W FOSTER AVE,14.93,75.0,57.0,66.0,4.0,47.0,56.0,1.0,0.02,29.39,30.11,5.8,18.0,6.5,0
5,5,CULEX PIPIENS/RESTUANS,19.28, N OAK PARK AVE,14.93,75.0,57.0,66.0,4.0,47.0,56.0,1.0,0.02,29.39,30.11,5.8,18.0,6.5,0
6,5,CULEX PIPIENS/RESTUANS,19.28, N OAKLEY AVE,14.93,75.0,57.0,66.0,4.0,47.0,56.0,1.0,0.02,29.39,30.11,5.8,18.0,6.5,0
7,5,CULEX RESTUANS,19.28, W WEBSTER AVE,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
8,5,CULEX RESTUANS,19.28, W GRAND AVE,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
9,5,CULEX PIPIENS/RESTUANS,19.28, W ROOSEVELT,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
10,5,CULEX RESTUANS,19.28, W ROOSEVELT,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
11,5,CULEX RESTUANS,19.28, W CHICAGO,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
12,5,CULEX PIPIENS/RESTUANS,19.28, N STAVE ST,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
13,5,CULEX PIPIENS/RESTUANS,19.28, N CANNON DR,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
14,5,CULEX RESTUANS,19.28, N CANNON DR,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
15,5,CULEX PIPIENS/RESTUANS,19.28, W 113TH ST,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
16,5,CULEX RESTUANS,19.28, W 113TH ST,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
17,5,CULEX RESTUANS,19.28, S PEORIA ST,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
18,5,CULEX RESTUANS,19.28, W 95TH ST,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
19,5,CULEX RESTUANS,19.28, W 89TH ST,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
20,5,CULEX PIPIENS,19.28, W 89TH ST,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
21,5,CULEX PIPIENS/RESTUANS,19.28, N STREETER DR,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
22,5,CULEX RESTUANS,19.28, N STREETER DR,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
23,5,CULEX RESTUANS,19.28, N LONG AVE,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
24,5,CULEX RESTUANS,19.28, S CARPENTER ST,14.93,75.0,59.0,67.0,5.0,49.0,57.0,2.0,0.001,29.44,30.09,5.8,16.0,7.4,0
25,6,CULEX PIPIENS/RESTUANS,19.38, N OAK PARK AVE,15.099999999999998,78.0,62.0,70.0,6.0,60.0,63.0,5.0,0.01,29.1,29.79,5.2,5.0,7.6,0
26,6,CULEX RESTUANS,19.38, N OAK PARK AVE,15.099999999999998,78.0,62.0,70.0,6.0,60.0,63.0,5.0,0.01,29.1,29.79,5.2,5.0,7.6,0
