month,Species,NumMosquitos,Sunset,Street,DaylightHrs,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,WnvPresent
5,CULEX PIPIENS/RESTUANS,1,1911, N OAK PARK AVE,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,0
5,CULEX RESTUANS,1,1911, N OAK PARK AVE,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,0
5,CULEX RESTUANS,1,1911, N MANDELL AVE,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,0
5,CULEX PIPIENS/RESTUANS,1,1911, W FOSTER AVE,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,0
5,CULEX RESTUANS,4,1911, W FOSTER AVE,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,0
5,CULEX PIPIENS/RESTUANS,1,1911, N OAK PARK AVE,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,0
5,CULEX PIPIENS/RESTUANS,1,1911, N OAKLEY AVE,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,0
5,CULEX RESTUANS,2,1911, W WEBSTER AVE,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX RESTUANS,1,1911, W GRAND AVE,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX PIPIENS/RESTUANS,1,1911, W ROOSEVELT,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX RESTUANS,2,1911, W ROOSEVELT,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX RESTUANS,1,1911, W CHICAGO,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX PIPIENS/RESTUANS,1,1911, N STAVE ST,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX PIPIENS/RESTUANS,2,1911, N CANNON DR,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX RESTUANS,3,1911, N CANNON DR,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX PIPIENS/RESTUANS,1,1911, W 113TH ST,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX RESTUANS,1,1911, W 113TH ST,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX RESTUANS,1,1911, S PEORIA ST,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX RESTUANS,3,1911, W 95TH ST,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
5,CULEX RESTUANS,5,1911, W 89TH ST,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,0
