,Date,Sunset,DaylightHrs,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,WetWeather,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Station,RH,CoolYearlyCum,Sunset7dAvg,DaylightHrs7dAvg,Tmax7dAvg,Tmin7dAvg,Tavg7dAvg,Depart7dAvg,DewPoint7dAvg,WetBulb7dAvg,Cool7dAvg,PrecipTotal7dAvg,StnPressure7dAvg,SeaLevel7dAvg,ResultSpeed7dAvg,ResultDir7dAvg,AvgSpeed7dAvg
0,2007-05-01,18.82,14.02,83.0,50.0,67.0,14.0,51.0,56.0,2.0,0,0.0,29.1,29.82,1.7,27.0,9.2,1,56.229435873172186,2.0,18.82,14.02,83.0,50.0,67.0,14.0,51.0,56.0,2.0,0.0,29.1,29.82,1.7,27.0,9.2
1,2007-05-02,18.83,14.049999999999997,59.0,42.0,51.0,-3.0,42.0,47.0,0.0,1,0.0,29.38,30.09,13.0,4.0,13.4,1,53.71339553378031,2.0,18.825,14.034999999999998,71.0,46.0,59.0,5.5,46.5,51.5,1.0,0.0,29.240000000000002,29.955,7.35,15.5,11.3
2,2007-05-03,18.85,14.080000000000002,66.0,46.0,56.0,2.0,40.0,48.0,0.0,0,0.0,29.39,30.12,11.7,7.0,11.9,1,34.55696783370807,2.0,18.833333333333332,14.049999999999999,69.33333333333333,46.0,58.0,4.333333333333333,44.333333333333336,50.333333333333336,0.6666666666666666,0.0,29.290000000000003,30.01,8.799999999999999,12.666666666666666,11.5
3,2007-05-04,18.87,14.14,66.0,49.0,58.0,4.0,41.0,50.0,0.0,1,0.001,29.31,30.05,10.4,8.0,10.8,1,35.962410066241965,2.0,18.8425,14.0725,68.5,46.75,58.0,4.25,43.5,50.25,0.5,0.00025,29.295,30.02,9.2,11.5,11.325
4,2007-05-05,18.88,14.16,66.0,53.0,60.0,5.0,38.0,49.0,0.0,0,0.001,29.4,30.1,11.7,7.0,12.0,1,22.515162889938157,2.0,18.85,14.09,68.0,48.0,58.4,4.4,42.4,50.0,0.4,0.0004,29.316000000000003,30.036,9.7,10.6,11.459999999999999
5,2007-05-06,18.92,14.220000000000002,68.0,49.0,59.0,4.0,30.0,46.0,0.0,0,0.0,29.57,30.29,14.4,11.0,15.0,1,-7.911833309851439,2.0,18.861666666666668,14.111666666666666,68.0,48.166666666666664,58.5,4.333333333333333,40.333333333333336,49.333333333333336,0.3333333333333333,0.0003333333333333333,29.358333333333334,30.078333333333333,10.483333333333333,10.666666666666666,12.049999999999999
6,2007-05-07,18.93,14.25,83.0,47.0,65.0,10.0,41.0,54.0,0.0,1,0.001,29.38,30.12,8.6,18.0,10.5,1,28.77102296138142,2.0,18.87142857142857,14.131428571428572,70.14285714285714,48.0,59.42857142857143,5.142857142857143,40.42857142857143,50.0,0.2857142857142857,0.0004285714285714286,29.361428571428572,30.084285714285716,10.214285714285714,11.714285714285714,11.828571428571427
7,2007-05-08,18.95,14.299999999999999,82.0,54.0,68.0,12.0,58.0,62.0,3.0,1,0.0,29.29,30.03,2.7,11.0,5.8,1,73.81351077424756,5.0,18.889999999999997,14.171428571428573,70.0,48.57142857142857,59.57142857142857,4.857142857142857,41.42857142857143,50.857142857142854,0.42857142857142855,0.0004285714285714286,29.388571428571428,30.114285714285717,10.357142857142858,9.428571428571429,11.342857142857142
8,2007-05-09,18.97,14.34,77.0,61.0,69.0,13.0,59.0,63.0,4.0,1,0.13,29.21,29.94,3.9,9.0,6.2,1,74.57726820607705,9.0,18.91,14.212857142857144,72.57142857142857,51.285714285714285,62.142857142857146,7.142857142857143,43.857142857142854,53.142857142857146,1.0,0.019,29.364285714285717,30.092857142857145,9.057142857142859,10.142857142857142,10.314285714285713
9,2007-05-10,18.98,14.36,84.0,56.0,70.0,14.0,52.0,60.0,5.0,1,0.0,29.2,29.92,0.7,17.0,4.1,1,54.746901639845156,14.0,18.928571428571427,14.252857142857144,75.14285714285714,52.714285714285715,64.14285714285714,8.857142857142858,45.57142857142857,54.857142857142854,1.7142857142857142,0.019,29.337142857142858,30.064285714285713,7.485714285714287,11.571428571428571,9.199999999999998
